1238170954,1238172929
1238172987,1238196793
1238198080,1238215142
1238227174,1238232306
1238235751,1238239667
1238245131,1238252455
1238290519,1238292971
1238292998,1238308337
1238318337,1238344470
1238350866,1238357139
1238368387,1238374369
1238383560,1238383899
1238384700,1238412533
1238412673,1238440687
1238450550,1238479684
1238480945,1238519915
1238528523,1238535532
1238538791,1238538970
1238543229,1238543356
1238546544,1238555462
1238561172,1238619975
1238636322,1238672700
1238672772,1238687597
1238691231,1238697794
1238700880,1238724601
1238758276,1238773286
1238773470,1238775952
1238775984,1238785197
1238790677,1238791932
1238792260,1238819101
1238819843,1238833576
1238908060,1238908158
1238918962,1238930392
1238938360,1238942103
1238955200,1238959424
1238973057,1238979204
1238981086,1238987166
1238990514,1238993507
1238993549,1238995065
1239009856,1239010368
1239087140,1239103228
1239103364,1239106302
1239149500,1239153689
1239153848,1239201390
1239201471,1239208793
1239213615,1239232125
1239244940,1239253498
1239263053,1239288926
1239295624,1239318836
1239322378,1239341782
1239348722,1239398850
1239430170,1239430250
1239430804,1239449340
1239449412,1239461138
1239483766,1239491090
1239497816,1239502455
1239515967,1239566422
1239619579,1239636444
1239672090,1239685815
1239685979,1239687649
1239687766,1239719507
1239720016,1239726069
1239726377,1239743998
1239878705,1239878711
1239878773,1239918470
1239920069,1239923888
1239940651,1239993538
1240037821,1240065159
1240065469,1240066047
1240104659,1240111574
1240124192,1240141509
1240146663,1240160231
1240189772,1240214165
1240219502,1240249072
1240266407,1240275368
1240275999,1240277858
1240279910,1240285184
1240285233,1240331167
1240335696,1240342595
1240345870,1240352951
1240360860,1240371200
1240371241,1240374780
1240374889,1240398780
1240398852,1240425611
1240546514,1240606748
1240821139,1240844083
1240849944,1240853585
1240853610,1240855236
1240860330,1240867962
1240872261,1240919356
1240919428,1240940544
1240940621,1240961211
1240961309,1241002495
1241002600,1241011102
1241068861,1241073789
1241073881,1241074723
